Participant,Trial,Condition,Time,TargetDistance,Duration,Mis-Clicks,Target Location
1,1,bubble,2018-03-19T19:58:51.974Z,98.33071967859479,1030,0,Toolbar Item
1,2,bubble,2018-03-19T19:58:53.567Z,414.2259372097144,1000,0,List Item
1,3,bubble,2018-03-19T19:58:55.643Z,542.778588339531,1107,0,Toolbar Item
1,4,bubble,2018-03-19T19:58:57.766Z,346.81454830310696,1187,0,Grid Item
1,5,bubble,2018-03-19T19:59:00.831Z,493.3544764024827,1633,0,List Item
1,6,bubble,2018-03-19T19:59:02.930Z,74.48501608532479,907,0,Toolbar Item
1,7,bubble,2018-03-19T19:59:04.508Z,401.94442377807616,1038,0,Grid Item
1,8,bubble,2018-03-19T19:59:07.029Z,417.5795158241169,1488,0,List Item
1,9,bubble,2018-03-19T19:59:08.854Z,543.255374140343,1155,0,List Item
1,10,bubble,2018-03-19T19:59:10.843Z,562.4619487431579,1270,0,Grid Item
1,11,bubble,2018-03-19T19:59:12.857Z,467.44405474667064,1079,0,Grid Item
1,12,bubble,2018-03-19T19:59:14.700Z,331.3787345160645,1061,0,Toolbar Item
1,13,bubble,2018-03-19T19:59:16.768Z,372.9662046861994,1185,0,List Item
1,14,bubble,2018-03-19T19:59:18.299Z,323.97045030947083,922,0,List Item
1,15,bubble,2018-03-19T19:59:19.801Z,358.20701887164597,929,0,Grid Item
1,16,bubble,2018-03-19T19:59:21.814Z,360.9614304166421,1232,0,Grid Item
1,17,bubble,2018-03-19T19:59:24.069Z,428.24686845078725,1311,0,Grid Item
1,18,bubble,2018-03-19T19:59:26.051Z,282.89146468675546,877,0,Grid Item
1,19,bubble,2018-03-19T19:59:27.678Z,377.8063191897634,952,0,List Item
1,20,bubble,2018-03-19T19:59:29.304Z,335.52207841896586,1029,0,List Item
1,21,bubble,2018-03-19T19:59:31.006Z,397.5980260900742,999,0,Toolbar Item
1,22,bubble,2018-03-19T19:59:32.819Z,441.5155739863828,1279,0,List Item
1,23,bubble,2018-03-19T19:59:35.055Z,545.3236896380754,1431,0,List Item
1,24,bubble,2018-03-19T19:59:36.906Z,336.3338598756352,855,0,List Item
1,25,bubble,2018-03-19T19:59:38.269Z,325.54523911484625,906,0,List Item
1,26,bubble,2018-03-19T19:59:39.795Z,309.8501297936161,928,0,List Item
1,27,bubble,2018-03-19T19:59:41.092Z,322.33161002556136,825,0,Grid Item
1,28,bubble,2018-03-19T19:59:42.853Z,397.8849642686073,828,0,Grid Item
1,29,bubble,2018-03-19T19:59:44.610Z,335.60000761268526,1044,0,List Item
1,30,bubble,2018-03-19T19:59:46.106Z,258.10747595538226,1007,0,Toolbar Item
1,31,bubble,2018-03-19T19:59:48.443Z,399.1087285104563,1286,0,List Item
1,32,bubble,2018-03-19T19:59:50.318Z,628.6763348642335,1169,0,Toolbar Item
1,33,bubble,2018-03-19T19:59:52.183Z,334.0564362552096,935,0,List Item
